Path,Truth
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008512.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085682.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009669.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20563.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037223.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085338.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085268.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09629.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009937.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022585.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54867.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008398.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54273.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058614.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20113.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009120.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12878.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037022.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07835.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009139.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18129.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/060262.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20007.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12197.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022916.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009064.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008476.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077256.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037730.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009676.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18368.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037841.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18415.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11638.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07329.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077806.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027998.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092060.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57638.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20086.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077929.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07234.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18633.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037444.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08869.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058015.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11875.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008888.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32641.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085373.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11279.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077297.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12499.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027878.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09317.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12099.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11416.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077410.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08942.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037942.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11235.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/060909.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058321.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009662.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18502.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09233.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058286.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18904.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022099.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54333.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32072.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092658.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57464.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11457.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57964.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20862.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085027.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12924.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092467.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54530.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027116.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07640.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077863.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058232.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085487.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008656.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092069.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085361.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18533.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/060723.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20676.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09396.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027392.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027974.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022745.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09391.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20827.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058206.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07513.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32375.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20624.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57589.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20649.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08484.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009756.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57957.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57119.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32389.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54110.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09856.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085514.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077960.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022934.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09768.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07605.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009899.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009322.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20743.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027844.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18263.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54681.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11322.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12387.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009376.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07857.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12472.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11200.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009906.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54752.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20970.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20317.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12056.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11528.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18604.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57253.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027642.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008706.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027416.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12859.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037892.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008707.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32010.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037824.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092205.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11162.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09043.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57405.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009378.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037182.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085459.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07435.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077802.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57628.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11112.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18120.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092521.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077977.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037683.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57794.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32435.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12069.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085187.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037288.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009650.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092012.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085383.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027384.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09862.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07866.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09067.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57729.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09416.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08810.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058282.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20062.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037396.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32210.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092618.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18170.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18061.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009627.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008158.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20087.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058752.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18164.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085912.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12567.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058866.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18384.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08949.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20939.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18665.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54707.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022085.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57486.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037533.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085882.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085443.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18126.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022488.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08542.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20739.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009709.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009479.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092886.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20853.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32686.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20230.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08227.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077145.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037799.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009403.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54176.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20146.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20166.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20430.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20208.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08740.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09492.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092829.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027805.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18639.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022909.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08966.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57351.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022654.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32722.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085049.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008265.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11701.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54842.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54231.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11926.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09033.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008827.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11417.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008098.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32777.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077200.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09126.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/20570.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027348.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18819.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/32091.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008334.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027531.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058650.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092503.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/11463.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18908.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08463.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085495.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/008359.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08344.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09138.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092777.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027474.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058536.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085968.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08605.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/07769.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08687.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54216.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027932.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54889.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092875.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/027638.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/085902.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18893.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09657.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022395.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08059.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058059.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18581.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/009359.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/12835.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092403.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022375.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077131.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54123.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/18401.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/08533.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54578.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092705.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/037628.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022655.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57147.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/57891.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54827.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/077194.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/09800.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022014.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022565.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/060874.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/022971.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/092648.png,0
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/REAL/54270.png,1
/Users/srijit/Documents/Projects Personal/LPQ-NET/datasets/FAKE/058185.png,0
